conversation_id,CoT,MoRE,PD,SR
1,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
10,0.6461538461538461,0.7041050903119869,0.6034871794871794,0.7408866995073893
11,0.8829832206444266,0.3100990099009901,0.3,0.8844262220874282
12,0.8154838709677419,0.8304838709677419,0.830967741935484,0.8387096774193548
13,0.7699999999999999,0.79,0.7692307692307692,0.7692307692307692
14,0.8322204557498674,0.8188871224165342,0.7639384891594949,0.8768136557610241
15,0.6153846153846153,0.6153846153846153,0.6153846153846153,0.6153846153846153
16,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8634920634920634
17,0.34318181818181814,0.3636363636363636,0.35340909090909084,0.3534090909090909
18,0.25567611336032386,0.7692307692307693,0.10953846153846154,0.12114285714285714
19,0.9186206896551725,0.8965517241379309,0.8886699507389164,0.8317460317460317
20,0.9162300511894008,0.9239901922828754,0.9134477566997893,0.9162300511894008
21,0.9208633093525179,0.7883743425427726,0.2716701902748414,0.6581480829191035
22,0.31984486102133153,0.5,0.18021978021978022,0.5277310924369749
23,0.9565217391304348,0.9565217391304348,0.6186727688787186,0.9565217391304348
24,0.34182754182754177,0.8927768248522966,0.29350649350649355,0.3513513513513514
25,0.8728304027226319,0.8784053156146179,0.8348432055749129,0.8401588201928532
26,0.888888888888889,0.9047619047619049,0.8846960167714885,0.8969696969696971
28,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
29,0.654945054945055,0.654945054945055,0.6945054945054945,0.7287912087912088
3,0.5701298701298702,0.5,0.5571428571428572,0.5571428571428573
31,0.7690486354193347,0.7738751814223512,0.7738751814223512,0.7692307692307693
32,0.853225806451613,0.8227419354838711,0.8750000000000002,0.853225806451613
33,0.8318402301862186,0.9403663003663004,0.18867924528301885,0.9449003365955002
34,0.87790667783066,0.859744990892532,0.8922491039426523,0.8555669398907103
35,1.0,0.9793103448275862,0.9793103448275862,0.9733333333333334
36,0.9705882352941175,0.9705882352941175,0.28181818181818186,0.6336898395721925
37,0.9466666666666667,0.9866666666666667,0.9733333333333334,1.0
39,0.808685867509397,0.8528411938938254,0.748620436167606,0.8227831427831427
4,0.7428571428571429,0.7428571428571429,0.18881632653061226,0.7463983903420524
41,0.8459459459459457,0.8329729729729729,0.44273504273504277,0.7165309200603318
42,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353
44,0.909090909090909,0.909090909090909,0.909090909090909,0.905050505050505
46,0.9652173913043478,0.9913043478260869,1.0,1.0
48,0.9284848484848485,0.9282740447957838,0.7699438150501979,0.9187878787878787
49,0.8,0.8,0.8,0.8
5,1.0,1.0,1.0,1.0
55,0.8184397163120567,0.8659159663865547,0.8617142857142858,0.8329280648429584
57,0.7041456016177958,0.9565217391304348,0.32558139534883723,0.32558139534883723
6,0.8292682926829269,0.8175609756097562,0.22222222222222224,0.8234146341463415
67,0.7368421052631579,0.7873684210526315,0.8,0.7609022556390977
7,0.7804878048780487,0.7804878048780487,0.7804878048780487,0.7804878048780487
77,0.8154838709677419,0.7917241379310346,0.7994660734149054,0.8077419354838709
8,0.8634920634920634,0.8634920634920634,0.8571428571428571,0.8504201680672268
9,0.4898299201666088,0.28689217758985197,0.3181818181818182,0.286892177589852
93,0.22055137844611522,0.23913231354247685,0.22681704260651628,0.22055137844611528
94,0.6842105263157895,0.6909581646423751,0.6842105263157895,0.6842105263157895
Average,0.7677413592691201,0.7859274440408921,0.6500505256839324,0.7479472303761162
Std,0.19667303552727766,0.1863895395446835,0.2723939840386477,0.21212835416684622
